Street Name,Latitude,Longitude,Safety Rating,Number of Crimes,Street Type,Traffic Level,Lighting Quality,CCTV Coverage,Distance to Nearest Police Station (km),Pedestrian Activity,Nearby Public Spaces,Crime Severity Index,Police Patrolling Frequency,Most Common Crime Types
Church Street 488,12.884999,77.611993,2,19,Residential,Moderate,Poor,High,4.9,Low,None,7.1,Rare,Theft
Koramangala 1st Block 489,12.880878,77.669459,4,17,Industrial,Moderate,Good,Low,2.0,High,Market,5.5,Frequent,Theft
Commercial Street 490,12.863774,77.61944,3,22,Industrial,High,Poor,High,3.0,Moderate,Mall,9.8,Frequent,Harassment
Brigade Road 491,12.965573,77.539871,1,43,Commercial,High,Poor,Medium,1.1,Low,Mall,5.4,Frequent,Harassment
Bannerghatta Road 492,12.857433,77.570191,2,15,Industrial,Low,Good,Low,1.8,Low,None,2.4,Rare,Harassment
Church Street 493,12.869443,77.626092,2,3,Industrial,High,Good,Medium,2.0,High,Mall,3.5,Occasional,Harassment
BTM Layout 494,12.895356,77.507361,1,4,Commercial,High,Moderate,Low,3.1,High,Park,6.4,Occasional,Assault
Bannerghatta Road 495,12.980797,77.613657,3,12,Residential,Low,Good,Medium,4.6,Moderate,Mall,4.3,Frequent,Robbery
Koramangala 1st Block 496,12.892552,77.575179,5,25,Residential,Low,Moderate,High,3.2,Low,Market,4.7,Frequent,Theft
MG Road 497,12.853135,77.643855,3,40,Mixed-use,High,Good,High,1.5,Moderate,Park,6.8,Occasional,Theft
Brigade Road 498,12.857422,77.502981,2,25,Mixed-use,Low,Good,Low,2.3,Moderate,Mall,4.5,Frequent,Theft
Koramangala 1st Block 499,12.867239,77.696881,1,21,Residential,Moderate,Poor,Low,1.4,Moderate,Market,2.9,Rare,Theft
Commercial Street 500,12.989171,77.577022,5,10,Mixed-use,High,Poor,Medium,1.3,Moderate,Mall,8.5,Rare,Harassment
Commercial Street 501,12.877823,77.603464,4,48,Residential,High,Poor,Medium,2.1,High,Playground,2.6,Frequent,Harassment
Whitefield Main Road 502,12.919098,77.658766,5,32,Industrial,High,Good,High,4.2,High,None,2.6,Rare,Vandalism
Commercial Street 503,12.920547,77.539924,4,48,Residential,High,Good,High,3.4,High,Mall,3.7,Frequent,Assault
Brigade Road 504,12.869437,77.624433,5,8,Industrial,High,Poor,High,4.7,Low,Market,3.0,Occasional,Harassment
Koramangala 1st Block 505,12.881345,77.65282,2,20,Industrial,Moderate,Moderate,Medium,3.3,Low,Park,9.9,Occasional,Vandalism
Commercial Street 506,12.890721,77.546694,3,31,Commercial,Moderate,Moderate,High,3.6,Moderate,Mall,5.5,Occasional,Assault
Jayanagar 4th Block 507,12.960172,77.511484,3,13,Residential,High,Poor,Low,4.6,High,Playground,1.3,Rare,Harassment
MG Road 508,12.990494,77.601418,2,8,Industrial,Moderate,Good,High,1.1,High,Mall,1.6,Occasional,Harassment
Bannerghatta Road 509,12.898727,77.555883,1,17,Residential,Moderate,Poor,High,3.5,Low,Mall,2.4,Frequent,Vandalism
BTM Layout 510,12.911846,77.580911,2,17,Commercial,High,Good,Medium,3.8,Low,Mall,2.5,Rare,Assault
Indiranagar 100 Feet Road 511,12.955006,77.683056,1,39,Mixed-use,High,Good,High,1.6,High,Playground,3.9,Rare,Theft
Koramangala 1st Block 512,12.973338,77.598431,2,0,Industrial,Moderate,Good,Low,5.0,Low,Playground,2.3,Occasional,Harassment
MG Road 513,12.998694,77.61984,1,31,Industrial,Moderate,Good,Low,0.7,Moderate,Park,9.0,Rare,Vandalism
Commercial Street 514,12.924138,77.639246,4,7,Commercial,High,Poor,High,4.6,Low,Market,3.4,Frequent,Harassment
Koramangala 1st Block 515,12.931543,77.533427,2,32,Industrial,Low,Poor,Low,4.6,Moderate,None,9.7,Rare,Theft
Commercial Street 516,12.95399,77.50601,4,20,Commercial,Low,Good,High,0.8,High,None,9.7,Occasional,Robbery
Indiranagar 100 Feet Road 517,12.857332,77.510297,5,21,Commercial,High,Good,Low,3.7,Moderate,Mall,4.6,Occasional,Harassment
Church Street 518,12.89958,77.557647,5,43,Industrial,Low,Moderate,Low,3.1,Low,None,9.5,Frequent,Robbery
MG Road 519,12.990687,77.694749,4,23,Residential,High,Poor,Low,4.8,Low,Playground,5.3,Occasional,Vandalism
Bannerghatta Road 520,12.920091,77.552651,3,17,Mixed-use,Moderate,Good,Medium,3.3,Low,Playground,9.0,Frequent,Harassment
Church Street 521,12.903909,77.547414,3,29,Industrial,High,Good,Low,1.1,Moderate,Playground,7.6,Rare,Robbery
BTM Layout 522,12.942283,77.55312,3,16,Commercial,High,Poor,Medium,4.5,Low,Park,3.2,Rare,Vandalism
Bannerghatta Road 523,12.850984,77.52916,4,7,Mixed-use,High,Poor,High,4.6,Low,None,1.8,Occasional,Theft
MG Road 524,12.86929,77.555975,3,43,Industrial,Low,Moderate,Medium,3.7,Moderate,Playground,6.1,Rare,Assault
BTM Layout 525,12.864907,77.50659,4,28,Commercial,Low,Good,High,0.7,Moderate,Playground,3.1,Frequent,Theft
Indiranagar 100 Feet Road 526,12.878902,77.6451,5,6,Residential,Moderate,Poor,Low,1.8,Low,Playground,3.3,Rare,Vandalism
Indiranagar 100 Feet Road 527,12.996636,77.69738,1,18,Residential,Low,Moderate,Low,2.1,High,None,8.4,Frequent,Robbery
Bannerghatta Road 528,12.994002,77.670145,3,30,Commercial,High,Moderate,Medium,2.9,Moderate,Mall,8.0,Frequent,Assault
Commercial Street 529,12.965256,77.553156,5,24,Industrial,Low,Good,Low,3.0,High,None,5.9,Frequent,Assault
Bannerghatta Road 530,12.970272,77.598964,5,42,Commercial,Moderate,Good,Low,4.3,Moderate,None,7.8,Occasional,Harassment
Bannerghatta Road 531,12.896062,77.696116,2,10,Residential,Low,Poor,Medium,3.3,Moderate,Mall,6.0,Occasional,Robbery
Bannerghatta Road 532,12.85542,77.696004,3,7,Residential,Moderate,Poor,High,1.2,Low,None,7.4,Rare,Harassment
Church Street 533,12.993953,77.60604,3,22,Residential,High,Good,Medium,4.7,Low,Park,8.0,Frequent,Robbery
Commercial Street 534,12.93576,77.612146,4,19,Commercial,Moderate,Poor,Low,1.5,Low,Mall,6.6,Occasional,Assault
BTM Layout 535,12.891123,77.647859,2,14,Industrial,High,Poor,Low,4.9,Moderate,Park,8.7,Rare,Assault
HSR Layout 536,12.85672,77.620394,1,42,Commercial,Low,Poor,High,2.6,Moderate,Playground,1.7,Rare,Robbery
BTM Layout 537,12.92419,77.619932,5,5,Residential,Moderate,Moderate,Low,3.9,High,Park,8.2,Frequent,Theft
BTM Layout 538,12.980109,77.648864,5,9,Industrial,Moderate,Poor,Medium,1.6,High,None,9.9,Rare,Assault
Jayanagar 4th Block 539,12.96569,77.667405,3,10,Industrial,High,Good,Low,1.5,High,None,8.9,Rare,Assault
HSR Layout 540,12.907292,77.521678,2,3,Industrial,Low,Poor,Low,3.6,High,Park,3.0,Occasional,Robbery
BTM Layout 541,12.94066,77.671523,5,15,Mixed-use,High,Good,High,4.0,Low,Market,3.5,Rare,Harassment
Koramangala 1st Block 542,12.937669,77.583212,1,2,Mixed-use,High,Good,High,1.9,High,Playground,1.2,Frequent,Harassment
Brigade Road 543,12.869034,77.553104,4,7,Commercial,Low,Moderate,Low,3.1,Moderate,Market,9.0,Frequent,Robbery
Church Street 544,12.88925,77.661861,5,24,Mixed-use,Moderate,Good,High,1.8,Low,Park,4.5,Rare,Theft
BTM Layout 545,12.940946,77.507887,4,8,Commercial,Low,Poor,High,3.2,Moderate,Park,4.5,Rare,Assault
Bannerghatta Road 546,12.860768,77.576638,3,40,Mixed-use,Moderate,Poor,High,3.8,High,Market,1.5,Occasional,Assault
Jayanagar 4th Block 547,12.980469,77.675481,2,43,Residential,Low,Good,Low,4.7,Low,Mall,7.8,Rare,Vandalism
Bannerghatta Road 548,12.924898,77.636324,5,39,Residential,High,Moderate,Medium,1.0,Moderate,None,3.4,Rare,Vandalism
HSR Layout 549,12.864633,77.547213,1,35,Mixed-use,Moderate,Good,Medium,4.6,Low,Playground,5.2,Frequent,Theft
Indiranagar 100 Feet Road 550,12.894745,77.690438,1,46,Residential,Moderate,Good,High,1.4,Moderate,None,9.5,Rare,Assault
Bannerghatta Road 551,12.959745,77.639858,5,38,Mixed-use,High,Poor,Low,3.2,Moderate,Mall,9.3,Rare,Theft
Commercial Street 552,12.920534,77.644893,5,43,Commercial,Moderate,Good,Low,4.5,High,Park,1.0,Rare,Vandalism
Indiranagar 100 Feet Road 553,12.98768,77.512585,1,32,Commercial,Low,Poor,Low,3.0,Moderate,Park,7.4,Rare,Robbery
HSR Layout 554,12.992893,77.613961,1,42,Residential,Moderate,Good,Medium,1.9,Moderate,Mall,1.4,Rare,Vandalism
Brigade Road 555,12.931123,77.66397,2,34,Residential,High,Poor,Low,0.6,Moderate,Playground,6.2,Rare,Vandalism
Whitefield Main Road 556,12.936009,77.55877,2,11,Commercial,Moderate,Moderate,Medium,4.1,Moderate,Playground,5.3,Rare,Assault
MG Road 557,12.91903,77.692609,5,13,Residential,Moderate,Good,High,2.3,High,Playground,8.1,Frequent,Vandalism
HSR Layout 558,12.891652,77.646097,1,14,Industrial,High,Good,High,3.9,Low,Mall,7.9,Rare,Vandalism
Whitefield Main Road 559,12.874933,77.528422,1,31,Commercial,High,Moderate,High,2.0,Low,Market,9.9,Frequent,Vandalism
Church Street 560,12.881362,77.626267,3,23,Mixed-use,Moderate,Good,Low,3.0,Moderate,Park,1.6,Occasional,Theft
Jayanagar 4th Block 561,12.986885,77.623285,2,10,Industrial,High,Moderate,Medium,2.8,Low,Park,4.6,Rare,Harassment
Church Street 562,12.936096,77.597143,1,36,Mixed-use,High,Poor,Low,4.6,Moderate,None,6.1,Frequent,Theft
Brigade Road 563,12.857394,77.581891,1,22,Residential,Moderate,Poor,High,3.4,High,None,2.4,Occasional,Assault
Jayanagar 4th Block 564,12.863923,77.530296,5,35,Residential,Moderate,Moderate,High,1.1,High,Market,7.3,Occasional,Robbery
BTM Layout 565,12.901774,77.683061,4,25,Industrial,Low,Good,High,4.9,Low,Mall,1.9,Occasional,Robbery
Koramangala 1st Block 566,12.87087,77.548677,5,9,Mixed-use,Low,Moderate,High,4.5,High,Market,8.4,Frequent,Vandalism
Church Street 567,12.886557,77.533595,2,14,Mixed-use,High,Good,High,0.8,High,None,8.7,Occasional,Theft
Whitefield Main Road 568,12.908018,77.598871,4,14,Residential,Moderate,Moderate,High,0.8,High,Market,1.5,Frequent,Theft
Brigade Road 569,12.867343,77.610514,3,10,Industrial,Low,Moderate,High,0.6,High,None,6.1,Occasional,Harassment
MG Road 570,12.890746,77.552099,1,19,Commercial,High,Poor,High,3.4,Low,Park,2.8,Occasional,Theft
Bannerghatta Road 571,12.852866,77.567386,2,19,Industrial,Low,Good,High,3.8,Moderate,Park,4.8,Frequent,Robbery
Whitefield Main Road 572,12.860332,77.593815,1,5,Industrial,High,Poor,Medium,3.2,Moderate,None,6.4,Frequent,Vandalism
BTM Layout 573,12.933331,77.653104,5,0,Industrial,Moderate,Poor,High,4.5,Low,Market,4.4,Frequent,Assault
Jayanagar 4th Block 574,12.911325,77.674207,5,31,Residential,High,Moderate,High,3.4,Low,Market,2.9,Rare,Robbery
HSR Layout 575,12.882396,77.527508,5,41,Mixed-use,Low,Good,High,4.3,Low,Market,8.9,Frequent,Harassment
MG Road 576,12.907834,77.640479,1,16,Commercial,Moderate,Moderate,High,0.6,High,Mall,1.1,Rare,Robbery
Bannerghatta Road 577,12.964619,77.600081,5,38,Mixed-use,Moderate,Moderate,High,1.2,Moderate,None,7.5,Rare,Robbery
Bannerghatta Road 578,12.851001,77.66221,4,44,Residential,Moderate,Good,Medium,0.8,Moderate,None,6.2,Occasional,Assault
Brigade Road 579,12.857249,77.624323,3,50,Commercial,Low,Poor,High,2.6,Low,Park,1.5,Rare,Theft
BTM Layout 580,12.948077,77.687607,1,23,Residential,High,Moderate,Low,4.3,Low,Playground,1.5,Occasional,Vandalism
Whitefield Main Road 581,12.880804,77.663526,3,46,Commercial,Moderate,Moderate,Low,4.5,Moderate,Mall,4.1,Frequent,Harassment
BTM Layout 582,12.972368,77.562694,5,19,Industrial,Moderate,Poor,High,2.2,Low,Playground,6.2,Occasional,Assault
Whitefield Main Road 583,12.899543,77.60678,3,19,Mixed-use,Low,Poor,High,4.7,Moderate,Mall,3.0,Frequent,Theft
Commercial Street 584,12.970101,77.686054,3,1,Mixed-use,High,Moderate,Medium,2.9,Moderate,Market,9.9,Rare,Assault
Church Street 585,12.850523,77.514725,5,34,Industrial,High,Good,High,3.9,Moderate,None,2.6,Rare,Robbery
MG Road 586,12.875361,77.675532,3,8,Mixed-use,High,Moderate,Low,1.8,Moderate,Playground,8.6,Rare,Theft
Jayanagar 4th Block 587,12.930521,77.601171,5,19,Industrial,Low,Moderate,Low,4.6,Moderate,None,6.1,Occasional,Harassment
MG Road 588,12.925601,77.507927,2,35,Commercial,Moderate,Moderate,High,4.5,Moderate,Playground,7.9,Rare,Vandalism
Koramangala 1st Block 589,12.921939,77.642111,1,14,Residential,Moderate,Moderate,Medium,0.7,Moderate,Playground,2.5,Frequent,Vandalism
Whitefield Main Road 590,12.902618,77.588867,5,13,Industrial,Low,Good,Low,1.7,High,Park,5.7,Occasional,Vandalism
Whitefield Main Road 591,12.94031,77.547927,2,42,Mixed-use,Low,Good,Medium,0.7,High,Mall,4.0,Rare,Robbery
BTM Layout 592,12.861073,77.666375,1,48,Residential,Low,Moderate,Medium,3.6,Moderate,Market,6.9,Occasional,Assault
Commercial Street 593,12.880338,77.574044,4,43,Mixed-use,High,Poor,Low,1.5,High,None,4.0,Rare,Robbery
Bannerghatta Road 594,12.978236,77.698282,3,5,Commercial,Low,Good,Low,1.1,Low,Park,3.6,Occasional,Vandalism
Brigade Road 595,12.85875,77.508267,3,18,Industrial,Moderate,Poor,Medium,3.5,High,Park,2.5,Frequent,Theft
MG Road 596,12.906385,77.575381,2,12,Mixed-use,Low,Moderate,Low,1.6,Moderate,Market,6.9,Frequent,Assault
Indiranagar 100 Feet Road 597,12.977856,77.607163,2,22,Commercial,Low,Poor,Medium,4.0,Low,Mall,7.4,Frequent,Harassment
HSR Layout 598,12.992698,77.519172,5,23,Mixed-use,Low,Good,Medium,2.3,High,Park,4.4,Occasional,Assault
Indiranagar 100 Feet Road 599,12.886322,77.674024,1,49,Residential,Moderate,Poor,High,4.9,High,Mall,7.2,Occasional,Vandalism
MG Road 600,12.938088,77.598502,3,44,Commercial,Low,Poor,Medium,3.4,Low,Park,4.5,Frequent,Robbery
MG Road 601,12.986491,77.681149,1,44,Mixed-use,High,Moderate,Medium,3.1,High,Playground,8.2,Rare,Theft
HSR Layout 602,12.884939,77.533619,3,45,Residential,Moderate,Good,Low,0.5,Moderate,Park,8.9,Frequent,Theft
Whitefield Main Road 603,12.893218,77.665246,5,7,Industrial,Moderate,Good,High,3.9,Low,Mall,6.6,Occasional,Harassment
Bannerghatta Road 604,12.999843,77.656824,2,3,Mixed-use,Low,Poor,Low,0.9,Low,Market,4.0,Rare,Vandalism
Whitefield Main Road 605,12.92189,77.565201,4,7,Commercial,High,Moderate,Medium,1.1,Moderate,Park,9.7,Frequent,Assault
Church Street 606,12.997213,77.665297,2,3,Industrial,High,Good,Low,4.1,Moderate,Park,2.9,Rare,Harassment
Church Street 607,12.999239,77.601821,4,34,Residential,Moderate,Moderate,High,3.0,Low,Playground,7.3,Occasional,Vandalism
Koramangala 1st Block 608,12.896767,77.676305,5,21,Industrial,Low,Good,High,2.5,Moderate,Playground,3.9,Occasional,Theft
Indiranagar 100 Feet Road 609,12.929116,77.550523,2,17,Industrial,Moderate,Good,Medium,1.7,Moderate,Park,8.2,Frequent,Harassment
HSR Layout 610,12.933246,77.544481,5,19,Industrial,High,Poor,High,3.3,Low,Park,9.0,Occasional,Theft
Whitefield Main Road 611,12.942753,77.555406,1,6,Residential,Low,Good,Medium,3.5,High,Market,2.5,Frequent,Harassment
Bannerghatta Road 612,12.980105,77.625728,2,5,Mixed-use,High,Good,High,4.7,High,Mall,6.6,Occasional,Vandalism
HSR Layout 613,12.92285,77.635897,5,8,Residential,High,Good,High,2.7,Moderate,Park,6.0,Frequent,Assault
Church Street 614,12.998377,77.541348,2,13,Commercial,High,Moderate,Medium,2.1,Moderate,Playground,3.9,Occasional,Assault
Brigade Road 615,12.943978,77.572283,2,8,Residential,Moderate,Good,High,0.6,Low,Market,5.0,Frequent,Robbery
BTM Layout 616,12.986028,77.531917,4,2,Residential,Moderate,Moderate,High,1.5,High,Mall,8.2,Rare,Robbery
HSR Layout 617,12.938802,77.673476,5,10,Residential,Moderate,Poor,High,0.5,High,Playground,3.2,Frequent,Robbery
Indiranagar 100 Feet Road 618,12.908407,77.697207,1,24,Mixed-use,Low,Moderate,High,4.5,High,Mall,3.9,Occasional,Harassment
Koramangala 1st Block 619,12.957985,77.647369,2,30,Residential,High,Moderate,High,4.5,Low,Mall,5.7,Rare,Robbery
BTM Layout 620,12.933392,77.566339,5,13,Residential,Low,Good,Low,3.7,Moderate,Playground,7.8,Rare,Robbery
HSR Layout 621,12.979082,77.579527,4,8,Commercial,Low,Moderate,High,0.6,High,Market,5.2,Occasional,Theft
Jayanagar 4th Block 622,12.894006,77.542641,2,50,Commercial,Low,Moderate,Medium,4.8,High,Mall,4.6,Frequent,Harassment
Jayanagar 4th Block 623,12.883116,77.501183,5,11,Residential,High,Moderate,Low,1.2,Low,Market,7.9,Rare,Robbery
Church Street 624,12.935786,77.539505,2,21,Residential,Moderate,Moderate,Medium,2.3,Moderate,Market,4.2,Rare,Theft
MG Road 625,12.894032,77.683333,1,31,Mixed-use,Low,Poor,Low,0.7,Low,Mall,8.4,Occasional,Robbery
Church Street 626,12.927266,77.669002,4,32,Industrial,Low,Poor,High,4.7,Low,Mall,4.0,Rare,Vandalism
Whitefield Main Road 627,12.874099,77.622828,2,11,Commercial,Moderate,Moderate,Medium,2.6,Low,Mall,6.0,Occasional,Robbery
MG Road 628,12.958012,77.591497,4,37,Residential,Moderate,Moderate,Low,2.8,Moderate,Mall,2.5,Frequent,Assault
Jayanagar 4th Block 629,12.96663,77.684567,2,14,Commercial,High,Poor,Medium,4.7,Moderate,Market,4.1,Frequent,Robbery
Indiranagar 100 Feet Road 630,12.966297,77.615438,5,15,Commercial,Low,Poor,Medium,5.0,High,None,6.3,Occasional,Theft
Jayanagar 4th Block 631,12.858688,77.645736,2,49,Residential,Moderate,Poor,Medium,1.5,High,None,3.3,Frequent,Assault
Church Street 632,12.915196,77.507418,4,0,Commercial,Moderate,Good,Medium,2.5,High,Playground,3.3,Frequent,Robbery
Church Street 633,12.99757,77.592557,3,28,Commercial,Low,Poor,Medium,0.8,High,Park,8.4,Occasional,Harassment
Koramangala 1st Block 634,12.941563,77.684253,4,25,Industrial,Low,Poor,High,1.4,Moderate,Market,6.0,Frequent,Robbery
BTM Layout 635,12.910431,77.64388,2,49,Industrial,High,Poor,Low,2.6,Moderate,Playground,6.9,Rare,Assault
Koramangala 1st Block 636,12.944339,77.51399,3,21,Residential,High,Poor,Low,2.5,High,None,3.8,Rare,Harassment
Brigade Road 637,12.903329,77.673493,4,39,Residential,High,Good,High,1.9,Moderate,Park,7.8,Frequent,Vandalism
Koramangala 1st Block 638,12.898733,77.612041,1,30,Residential,Moderate,Good,Low,1.6,High,Playground,3.7,Frequent,Robbery
Whitefield Main Road 639,12.877905,77.500382,4,30,Mixed-use,Moderate,Poor,Medium,1.7,Low,Mall,4.3,Occasional,Theft
Bannerghatta Road 640,12.902069,77.644843,4,26,Mixed-use,Low,Poor,Medium,4.1,High,Mall,3.0,Rare,Vandalism
Whitefield Main Road 641,12.927617,77.595218,5,47,Commercial,Low,Good,Medium,1.5,High,Mall,5.5,Rare,Harassment
Brigade Road 642,12.971302,77.618383,3,44,Commercial,Moderate,Poor,High,3.6,Low,None,4.5,Rare,Theft
Brigade Road 643,12.961521,77.532375,4,16,Commercial,High,Moderate,High,2.6,Moderate,Market,5.8,Occasional,Assault
Brigade Road 644,12.850863,77.590084,4,2,Residential,Moderate,Good,Low,4.8,Moderate,Market,8.2,Frequent,Vandalism
Koramangala 1st Block 645,12.905699,77.596542,2,30,Mixed-use,Low,Poor,Low,1.2,Moderate,Market,3.5,Rare,Robbery
BTM Layout 646,12.951718,77.583754,1,36,Mixed-use,Low,Poor,Medium,4.2,Low,Market,7.5,Rare,Robbery
HSR Layout 647,12.962952,77.651318,2,32,Residential,High,Poor,High,3.6,Moderate,Playground,6.5,Rare,Assault
Jayanagar 4th Block 648,12.961383,77.594786,1,0,Industrial,Moderate,Moderate,Low,4.1,Low,Playground,9.6,Frequent,Vandalism
Jayanagar 4th Block 649,12.903066,77.624016,5,46,Mixed-use,Moderate,Poor,High,0.9,Moderate,Playground,1.6,Rare,Vandalism
Commercial Street 650,12.878319,77.644086,1,24,Mixed-use,High,Moderate,Low,3.3,High,Playground,8.3,Frequent,Assault
Church Street 651,12.870329,77.617093,3,35,Industrial,Low,Good,Low,4.8,Moderate,Mall,2.4,Frequent,Theft
Koramangala 1st Block 652,12.894111,77.628245,2,13,Commercial,High,Good,High,4.5,Low,Playground,2.4,Occasional,Assault
Church Street 653,12.93341,77.559148,5,31,Mixed-use,Moderate,Poor,High,3.2,Moderate,None,5.7,Occasional,Vandalism
Koramangala 1st Block 654,12.880371,77.617077,1,23,Commercial,High,Poor,Medium,2.2,Low,Mall,3.6,Frequent,Vandalism
Church Street 655,12.898726,77.54121,3,45,Industrial,Low,Good,Low,1.4,High,Mall,2.4,Frequent,Vandalism
Church Street 656,12.949796,77.582536,1,25,Mixed-use,High,Moderate,High,2.9,High,Market,1.4,Occasional,Harassment
Commercial Street 657,12.98748,77.51711,3,5,Industrial,High,Poor,High,2.9,High,Mall,7.3,Frequent,Robbery
Church Street 658,12.954392,77.54918,5,27,Commercial,Low,Moderate,Low,4.2,Low,None,6.7,Frequent,Theft
Bannerghatta Road 659,12.909158,77.638587,1,12,Commercial,Low,Poor,Medium,2.7,Moderate,Mall,9.9,Frequent,Assault
Jayanagar 4th Block 660,12.987535,77.509828,5,1,Mixed-use,Moderate,Good,Low,3.5,High,Playground,9.0,Frequent,Robbery
Commercial Street 661,12.955328,77.574275,2,40,Mixed-use,Moderate,Poor,Medium,0.7,Moderate,Mall,7.8,Frequent,Robbery
Commercial Street 662,12.97682,77.631785,4,21,Commercial,Moderate,Moderate,Medium,3.0,Low,Park,2.8,Occasional,Assault
Jayanagar 4th Block 663,12.961643,77.696602,3,16,Mixed-use,Moderate,Good,Medium,3.8,Low,Mall,8.7,Rare,Theft
Koramangala 1st Block 664,12.955407,77.671202,2,11,Mixed-use,Low,Moderate,Medium,2.1,Moderate,Playground,2.0,Frequent,Theft
Whitefield Main Road 665,12.863258,77.66366,5,13,Residential,High,Moderate,Medium,4.0,High,Mall,5.4,Frequent,Harassment
Jayanagar 4th Block 666,12.93084,77.516609,4,1,Industrial,Moderate,Good,High,3.8,Low,Mall,5.5,Occasional,Vandalism
Commercial Street 667,12.948938,77.635095,4,41,Mixed-use,High,Poor,Low,2.6,Low,None,1.1,Rare,Harassment
Whitefield Main Road 668,12.91489,77.53889,1,13,Industrial,High,Poor,Medium,1.3,Low,Mall,3.7,Rare,Robbery
BTM Layout 669,12.889172,77.634588,2,14,Mixed-use,High,Moderate,High,3.2,High,Mall,1.7,Rare,Robbery
HSR Layout 670,12.982045,77.628743,4,19,Mixed-use,High,Moderate,Medium,1.4,Moderate,Mall,9.0,Occasional,Theft
BTM Layout 671,12.953728,77.536799,3,34,Mixed-use,High,Good,Low,3.7,Moderate,None,3.7,Occasional,Assault
BTM Layout 672,12.984986,77.62723,4,15,Mixed-use,Moderate,Good,Low,2.6,Low,Market,8.1,Frequent,Robbery
Jayanagar 4th Block 673,12.892462,77.522288,4,6,Industrial,Moderate,Moderate,Low,4.6,Low,Park,5.8,Occasional,Harassment
Indiranagar 100 Feet Road 674,12.942609,77.668206,1,3,Residential,High,Moderate,Low,2.5,Low,Mall,6.6,Frequent,Vandalism
BTM Layout 675,12.899348,77.589762,4,26,Mixed-use,Moderate,Poor,Medium,2.9,Low,Playground,3.6,Rare,Robbery
MG Road 676,12.93657,77.513408,3,38,Industrial,Low,Moderate,Medium,0.7,Low,None,4.3,Occasional,Robbery
Church Street 677,12.904992,77.521505,1,4,Commercial,Low,Moderate,Medium,0.5,Moderate,Mall,8.8,Frequent,Harassment
Whitefield Main Road 678,12.896354,77.535139,1,25,Mixed-use,Low,Poor,Low,3.8,High,Park,3.2,Rare,Assault
Brigade Road 679,12.931277,77.57491,2,28,Industrial,High,Moderate,High,1.7,Low,Playground,5.5,Rare,Theft
Koramangala 1st Block 680,12.851674,77.659831,2,14,Mixed-use,High,Good,High,3.3,Moderate,Market,8.1,Rare,Theft
MG Road 681,12.917464,77.506795,5,3,Residential,High,Poor,High,1.0,High,Market,5.2,Occasional,Robbery
Commercial Street 682,12.945223,77.576436,2,42,Residential,Low,Poor,Medium,1.5,Moderate,Market,5.9,Rare,Robbery
Koramangala 1st Block 683,12.993642,77.692148,2,49,Residential,High,Good,Medium,0.7,High,Mall,1.1,Rare,Assault
BTM Layout 684,12.999567,77.581448,2,18,Residential,Moderate,Poor,Medium,2.5,Low,None,4.2,Frequent,Harassment
Koramangala 1st Block 685,12.944859,77.659213,2,15,Commercial,Moderate,Moderate,High,3.3,Moderate,Playground,1.4,Occasional,Vandalism
HSR Layout 686,12.876099,77.559209,5,4,Industrial,High,Poor,High,3.8,High,Mall,1.7,Frequent,Theft
Whitefield Main Road 687,12.877479,77.500616,2,20,Industrial,High,Moderate,High,2.5,High,Playground,8.8,Frequent,Robbery
Koramangala 1st Block 688,12.918968,77.559176,5,22,Industrial,Moderate,Poor,Medium,1.2,Moderate,None,5.6,Rare,Assault
MG Road 689,12.872441,77.6028,5,17,Residential,Low,Moderate,High,2.1,Low,Market,8.4,Occasional,Theft
Indiranagar 100 Feet Road 690,12.860384,77.580228,4,29,Industrial,Moderate,Poor,High,1.0,High,Park,2.2,Occasional,Robbery
Indiranagar 100 Feet Road 691,12.86272,77.55269,3,11,Commercial,Moderate,Moderate,Low,1.2,Low,Park,4.4,Frequent,Vandalism
Whitefield Main Road 692,12.914101,77.583209,2,15,Industrial,Low,Good,Medium,1.5,Low,None,6.1,Rare,Assault
Bannerghatta Road 693,12.907568,77.509774,3,22,Commercial,High,Good,Medium,4.4,High,None,1.6,Rare,Vandalism
Indiranagar 100 Feet Road 694,12.903628,77.579221,3,29,Mixed-use,Moderate,Moderate,High,3.3,Moderate,Playground,9.0,Rare,Harassment
Indiranagar 100 Feet Road 695,12.976924,77.512836,5,50,Industrial,Moderate,Poor,Low,3.0,High,None,5.6,Frequent,Harassment
MG Road 696,12.893573,77.640636,3,31,Commercial,Low,Moderate,High,3.5,Moderate,Mall,5.0,Frequent,Harassment
Bannerghatta Road 697,12.940596,77.569122,1,28,Commercial,Low,Moderate,High,1.5,High,Playground,8.5,Occasional,Harassment
BTM Layout 698,12.870293,77.532564,2,31,Commercial,Low,Poor,Low,2.6,Low,Mall,6.3,Frequent,Robbery
MG Road 699,12.935631,77.593662,1,11,Residential,Low,Moderate,Medium,3.1,High,Market,9.5,Frequent,Harassment
Indiranagar 100 Feet Road 700,12.990115,77.637695,1,44,Commercial,Moderate,Good,High,1.5,Low,Mall,9.6,Occasional,Vandalism
Whitefield Main Road 701,12.960683,77.54065,3,25,Industrial,Low,Poor,Low,2.3,Moderate,Playground,3.4,Occasional,Harassment
MG Road 702,12.855985,77.666236,5,38,Mixed-use,Low,Good,Low,1.7,High,Playground,7.0,Occasional,Vandalism
Brigade Road 703,12.951937,77.56774,1,35,Residential,Moderate,Good,Medium,2.3,High,Playground,6.7,Frequent,Theft
